MES,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,LINEA,TIPO DE MATERIAL,O.P. NÚMERO,REFERENCIA,DESC. ITEM,DETALLE EXT. 1,DESC. NORMAL DETALLE EXT. 1,DESC. DETALLE EXT. 2,CANT. COMPLETA,FECHA CREACION,DESC. OPERACION
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-10,366,2026-04-08,CORTE
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-12,216,2026-04-08,CORTE
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-14,150,2026-04-08,CORTE
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-5,150,2026-04-08,CORTE
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-6,212,2026-04-08,CORTE
JUNIO,022 - 2JUN2                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,ST0001277                                         ,RETROJEAN T/ALTO LAV CLARO BOTA DESFLECA,IND01               ,CLARO,T-8,356,2026-04-08,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,MOP-00000003,ST0001299                                         ,CHAQUETA ML LAV CLARO CON JARETA,IND01               ,CLARO,T-L,360,2026-04-08,CORTE                                   
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,MOP-00000003,ST0001299                                         ,CHAQUETA ML LAV CLARO CON JARETA,IND01               ,CLARO,T-M,366,2026-04-08,CORTE                                   
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,MOP-00000003,ST0001299                                         ,CHAQUETA ML LAV CLARO CON JARETA,IND01               ,CLARO,T-S,270,2026-04-08,CORTE                                   
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,MOP-00000003,ST0001299                                         ,CHAQUETA ML LAV CLARO CON JARETA,IND01               ,CLARO,T-XL,180,2026-04-08,CORTE                                   
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-10,357,2026-04-09,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-12,210,2026-04-09,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-14,146,2026-04-09,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-5,146,2026-04-09,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-6,214,2026-04-09,CORTE
JUNIO,021 - 2JUN1                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000004,ST0001282                                         ,RETROJEAN T/MEDIO LAV MEDIO BOTA DESFLEC,IND02               ,MEDIO,T-8,357,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-10,333,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-12,258,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-14,197,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-5,136,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-6,200,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000005,ST0001283                                         ,RETROJEAN T/MEDIO LAV CLARO CON ABERTURA,IND01               ,CLARO,T-8,333,2026-04-09,CORTE
FEBRERO,002 - 1ENE2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MOP-00000006,15001950                                          ,CAMISETA PREMIUM MANGA LARGA ESENCIAL,19-4004             ,NEGRO,T-L,49,2026-04-09,CORTE
FEBRERO,002 - 1ENE2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MOP-00000006,15001950                                          ,CAMISETA PREMIUM MANGA LARGA ESENCIAL,19-4004             ,NEGRO,T-M,48,2026-04-09,CORTE
FEBRERO,002 - 1ENE2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MOP-00000006,15001950                                          ,CAMISETA PREMIUM MANGA LARGA ESENCIAL,19-4004             ,NEGRO,T-S,48,2026-04-09,CORTE
FEBRERO,002 - 1ENE2                                   ,STOP,004 - ESENCIAL MODA                           ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MOP-00000006,15001950                                          ,CAMISETA PREMIUM MANGA LARGA ESENCIAL,19-4004             ,NEGRO,T-XL,96,2026-04-09,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,002 - BLUSA-CAMISA                            ,002 - TEJIDO PLANO                            ,MOP-00000007,ST0001285                                         ,BLUSA MS CON AMARRE EN CUELLO,11-0602             ,MARFIL,T-L,288,2026-04-28,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,002 - BLUSA-CAMISA                            ,002 - TEJIDO PLANO                            ,MOP-00000007,ST0001285                                         ,BLUSA MS CON AMARRE EN CUELLO,11-0602             ,MARFIL,T-M,384,2026-04-28,CORTE
JUNIO,023 - 2JUN3                                   ,STOP,008 - MODA                                    ,002 - BLUSA-CAMISA                            ,002 - TEJIDO PLANO                            ,MOP-00000007,ST0001285                                         ,BLUSA MS CON AMARRE EN CUELLO,11-0602             ,MARFIL,T-S,296,2026-04-28,CORTE
