MES,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,LINEA,TIPO DE MATERIAL,O.P. NÚMERO,REFERENCIA,DESC. ITEM,DETALLE EXT. 1,DESC. NORMAL DETALLE EXT. 1,DESC. DETALLE EXT. 2,CANT. COMPLETA,FECHA CREACIÓN,DESC. OPERACION,DESC. C.TRABAJO
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-10     ,51,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-12     ,189,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-14     ,154,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-16     ,154,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-18     ,103,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-20     ,77,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND02               ,MEDIO,T-22     ,50,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-10     ,51,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-12     ,189,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-14     ,154,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-18     ,103,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-20     ,77,2026-04-28,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,006 - 1FEB2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000002,35010291                                          ,RETROMOM TIRO BAJO BOTA AMPLIA ESENCIAL,IND03               ,MEDIO OSCURO,T-22     ,156,2026-04-28,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND01               ,CLARO,T-14     ,96,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND01               ,CLARO,T-16     ,98,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND01               ,CLARO,T-18     ,94,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND01               ,CLARO,T-20     ,93,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND01               ,CLARO,T-22     ,93,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-12     ,98,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-14     ,97,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-16     ,98,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-18     ,94,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-20     ,93,2026-04-16,CORTE,TRAZO Y CORTE
011 - NOVIEMBRE                               ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000003,35054202                                          ,COOL DESCADERADO ESENCIAL,IND02               ,MEDIO,T-22     ,93,2026-04-16,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-12     ,445,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-14     ,445,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-16     ,445,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-18     ,356,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-20     ,267,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,023 - 2JUN3                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000005,YY0001042                                         ,SHORT TIRO ALTO TP LAV MEDIO,IND02               ,MEDIO,T-22     ,178,2026-04-27,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-12     ,109,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-14     ,135,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-16     ,135,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-18     ,91,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-20     ,67,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000008,YY0001079                                         ,CARGO TIRO MEDIO TP  LAV MEDIO  ,IND02               ,MEDIO,T-22     ,43,2026-04-11,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-12     ,374,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-14     ,421,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-16     ,421,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-18     ,288,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-20     ,192,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MOP-00000009,YY0001085                                         ,CARGO TIRO MEDIO TP  LAV MEDIO   ,IND02               ,MEDIO,T-22     ,144,2026-04-10,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MOP-00000010,YY0001078                                         ,VESTIDO MC TP AJUSTADO ESTAMPADO,18-0322             ,VERDE MILITAR,T-14     ,393,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MOP-00000010,YY0001078                                         ,VESTIDO MC TP AJUSTADO ESTAMPADO,18-0322             ,VERDE MILITAR,T-16     ,296,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MOP-00000010,YY0001078                                         ,VESTIDO MC TP AJUSTADO ESTAMPADO,18-0322             ,VERDE MILITAR,T-18     ,222,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MOP-00000010,YY0001078                                         ,VESTIDO MC TP AJUSTADO ESTAMPADO,18-0322             ,VERDE MILITAR,T-20     ,222,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,MOP-00000010,YY0001078                                         ,VESTIDO MC TP AJUSTADO ESTAMPADO,18-0322             ,VERDE MILITAR,T-22     ,148,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-10     ,185,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-12     ,462,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-14     ,469,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-16     ,468,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-18     ,370,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-20     ,185,2026-04-14,CORTE,TRAZO Y CORTE
006 - JUNIO                                   ,021 - 2JUN1                                   ,003 - YOYO                                    ,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,MOP-00000011,YY0001084                                         ,SHORT TIRO ALTO TP LAV CLARO  ,IND01               ,CLARO,T-22     ,185,2026-04-14,CORTE,TRAZO Y CORTE
002 - FEBRERO                                 ,042 - 4NOV2                                   ,003 - YOYO                                    ,005 - ESENCIAL                                ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MOP-00000012,35054249                                          ,CAMISETA  POLO MANGA CORTA ESENCIAL,11-0602             ,MARFIL,T-14     ,260,2026-04-15,CORTE,TRAZO Y CORTE
