MARCA,O.P. NÚMERO,REFERENCIA,GRUPO DE ENTREGA,MES,ITEM O.P. RESUMEN,DESC. BODEGA,ESTADO,U.M.,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE,FECHA TERMINACION,AÑO,COLECCIÓN,FECHA CREACION,FECHA APROBACION,EXT. 1,DESC. EXTENSION 1,EXT. 2,DETALLE EXT. 2,DESC. DETALLE EXT. 2,CUMPLIMIENTO %,ESTATUS OP
STOP,MOP-00000001,19020851                                          ,21-2JUN1,06-JUNIO,19020851 - 17-1654 - 044  PASHMINA ESTAMPADA ROJO T-U,STOP CEDI,Aprobado,UND ,369,369,0,369,2026-05-20,01-2026,018-INDIE SUMMER,2026-04-06,2026-04-07,1,COLORES  ,1,44,T-U      ,0.0,INCOMPLETO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 014  RETROJEAN T/ALTO LAV INDIGO T-6,STOP CEDI,Aprobado,UND ,188,188,207,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,14,T-6      ,1.101063829787234,CERRADO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 016  RETROJEAN T/ALTO LAV INDIGO T-8,STOP CEDI,Aprobado,UND ,313,313,355,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,16,T-8      ,1.134185303514377,CERRADO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 018  RETROJEAN T/ALTO LAV INDIGO T-10,STOP CEDI,Aprobado,UND ,313,313,361,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,18,T-10     ,1.1533546325878594,CERRADO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 019  RETROJEAN T/ALTO LAV INDIGO T-12,STOP CEDI,Aprobado,UND ,188,188,216,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,19,T-12     ,1.148936170212766,CERRADO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 020  RETROJEAN T/ALTO LAV INDIGO T-14,STOP CEDI,Aprobado,UND ,125,125,150,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,20,T-14     ,1.2,CERRADO
STOP,MOP-00000002,ST0001277                                         ,21-2JUN1,06-JUNIO,ST0001277 - IND01 - 013  RETROJEAN T/ALTO LAV INDIGO T-5,STOP CEDI,Aprobado,UND ,125,125,149,0,2026-04-15,01-2026,022-CAPSULAS FERIAS,2026-04-06,2026-04-06,1,COLORES  ,1,13,T-5      ,1.192,CERRADO
STOP,MOP-00000003,ST0001299                                         ,21-2JUN1,06-JUNIO,ST0001299 - IND01 - 003  CHAQUETA ML LAV CLAR INDIGO T-S,STOP CEDI,Aprobado,UND ,277,277,270,7,2026-05-20,01-2026,018-INDIE SUMMER,2026-04-06,2026-04-06,1,COLORES  ,1,3,T-S      ,0.9747292418772563,INCOMPLETO
STOP,MOP-00000003,ST0001299                                         ,21-2JUN1,06-JUNIO,ST0001299 - IND01 - 004  CHAQUETA ML LAV CLAR INDIGO T-M,STOP CEDI,Aprobado,UND ,369,369,366,3,2026-05-20,01-2026,018-INDIE SUMMER,2026-04-06,2026-04-06,1,COLORES  ,1,4,T-M      ,0.991869918699187,INCOMPLETO
STOP,MOP-00000003,ST0001299                                         ,21-2JUN1,06-JUNIO,ST0001299 - IND01 - 005  CHAQUETA ML LAV CLAR INDIGO T-L,STOP CEDI,Aprobado,UND ,369,369,360,9,2026-05-20,01-2026,018-INDIE SUMMER,2026-04-06,2026-04-06,1,COLORES  ,1,5,T-L      ,0.975609756097561,INCOMPLETO
