MARCA,O.P. NÚMERO,REFERENCIA,GRUPO DE ENTREGA,MES,ITEM O.P. RESUMEN,DESC. BODEGA,ESTADO,U.M.,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE,FECHA TERMINACION,AÑO,COLECCIÓN,FECHA CREACION,FECHA APROBACION,EXT. 1,COLOR_NOMBRE,EXT. 2,DETALLE EXT. 2,DESC. DETALLE EXT. 2,CUMPLIMIENTO %,ESTATUS OP
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 018  RETROMOM TIRO BAJO B INDIGO T-10,YOYO CEDI,Aprobado,UND ,49,49,0,49,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,18,T-10     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 019  RETROMOM TIRO BAJO B INDIGO T-12,YOYO CEDI,Aprobado,UND ,200,200,0,200,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,19,T-12     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 020  RETROMOM TIRO BAJO B INDIGO T-14,YOYO CEDI,Aprobado,UND ,147,147,0,147,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,20,T-14     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 021  RETROMOM TIRO BAJO B INDIGO T-16,YOYO CEDI,Aprobado,UND ,145,145,0,145,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,21,T-16     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 022  RETROMOM TIRO BAJO B INDIGO T-18,YOYO CEDI,Aprobado,UND ,99,99,0,99,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,22,T-18     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 023  RETROMOM TIRO BAJO B INDIGO T-20,YOYO CEDI,Aprobado,UND ,44,44,0,44,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,23,T-20     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 024  RETROMOM TIRO BAJO B INDIGO T-22,YOYO CEDI,Aprobado,UND ,149,149,0,149,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,24,T-22     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND02 - 024  RETROMOM TIRO BAJO B INDIGO T-22,YOYO CEDI,Aprobado,UND ,47,47,0,47,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,24,T-22     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 018  RETROMOM TIRO BAJO B INDIGO T-10,YOYO CEDI,Aprobado,UND ,49,49,0,49,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,18,T-10     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 019  RETROMOM TIRO BAJO B INDIGO T-12,YOYO CEDI,Aprobado,UND ,145,145,0,145,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,19,T-12     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 020  RETROMOM TIRO BAJO B INDIGO T-14,YOYO CEDI,Aprobado,UND ,143,143,0,143,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,20,T-14     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 022  RETROMOM TIRO BAJO B INDIGO T-18,YOYO CEDI,Aprobado,UND ,97,97,0,97,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,22,T-18     ,0.0,INCOMPLETO
YOYO,MOP-00000002,35010291                                          ,22-2JUN2,06-JUNIO,35010291 - IND03 - 023  RETROMOM TIRO BAJO B INDIGO T-20,YOYO CEDI,Aprobado,UND ,96,96,0,96,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND03               ,1,23,T-20     ,0.0,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND01 - 020  COOL DESCADERADO ESE INDIGO T-14,YOYO CEDI,Aprobado,UND ,100,100,48,52,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND01               ,1,20,T-14     ,0.48,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND01 - 021  COOL DESCADERADO ESE INDIGO T-16,YOYO CEDI,Aprobado,UND ,100,100,96,4,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND01               ,1,21,T-16     ,0.96,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND01 - 022  COOL DESCADERADO ESE INDIGO T-18,YOYO CEDI,Aprobado,UND ,100,100,92,8,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND01               ,1,22,T-18     ,0.92,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND01 - 023  COOL DESCADERADO ESE INDIGO T-20,YOYO CEDI,Aprobado,UND ,100,100,93,7,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND01               ,1,23,T-20     ,0.93,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND01 - 024  COOL DESCADERADO ESE INDIGO T-22,YOYO CEDI,Aprobado,UND ,97,97,90,7,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND01               ,1,24,T-22     ,0.9278350515463918,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 019  COOL DESCADERADO ESE INDIGO T-12,YOYO CEDI,Cumplido,UND ,85,85,98,0,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,19,T-12     ,1.1529411764705881,CERRADO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 020  COOL DESCADERADO ESE INDIGO T-14,YOYO CEDI,Cumplido,UND ,89,89,145,0,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,20,T-14     ,1.6292134831460674,CERRADO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 021  COOL DESCADERADO ESE INDIGO T-16,YOYO CEDI,Cumplido,UND ,97,97,100,0,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,21,T-16     ,1.0309278350515463,CERRADO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 022  COOL DESCADERADO ESE INDIGO T-18,YOYO CEDI,Cumplido,UND ,85,85,95,0,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,22,T-18     ,1.1176470588235294,CERRADO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 023  COOL DESCADERADO ESE INDIGO T-20,YOYO CEDI,Aprobado,UND ,96,96,93,3,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,23,T-20     ,0.96875,INCOMPLETO
YOYO,MOP-00000003,35054202                                          ,22-2JUN2,06-JUNIO,35054202 - IND02 - 024  COOL DESCADERADO ESE INDIGO T-22,YOYO CEDI,Aprobado,UND ,100,100,95,5,2026-05-15,01-2026, ,2026-04-06,2026-04-06,1,IND02               ,1,24,T-22     ,0.95,INCOMPLETO
