MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000255,VAQUERO TIRO ALTO LAVADO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,026 - 3JUL2                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000261,BERMUDA TIRO ALTO LAV OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  , ,031 - 3AGO3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000640,CAMISA MANGA LARGA LAV OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
010 - OCTUBRE                                 , ,040 - 4OCT4                                   ,001 - STOP                                    ,009 - CONSCIENTE,002 - TEJIDO PLANO                            ,MS0001048,CAMISA MANGA CORTA SEMIAJUSTADA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000298,BLUSA MANGA LARGA CON VOLUMEN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000304,CAMISETA MANGA CORTA ESTAMPADO FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,025 - 3JUL1                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000311,FALDA SHORT TIRO ALTO MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
003 - MARZO                                   , ,038 - 4OCT2                                   ,001 - STOP                                    ,005 - ESENCIAL                                ,001 - TEJIDO PUNTO                            ,15001953,BODY PREMIUM MANGA LARGA ESENCIAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
006 - JUNIO                                   , ,021 - 2JUN1                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0001299,CHAQUETA ML LAV CLARO CON JARETA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
006 - JUNIO                                   , ,,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,MS0004612,BLUSA CUELLO HALTER,
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,002 - TEJIDO PLANO                            ,ST0000316,RETROJEAN TIRO ALTO MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
008 - AGOSTO                                  , ,031 - 3AGO3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,MS0004919,PALAZZO T/ALTO REPROGRAMACIÓN,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,07-JULIO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000351,BERMUDA TIRO ALTO NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,08-AGOSTO,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000352,BERMUDA TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              ,07-JULIO,033 - 3SEP1                                   ,001 - STOP                                    ,008 - MODA                                    ,005 - DENIM                                   ,ST0000353,SHORT TIRO ALTO LAV OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
010 - OCTUBRE                                 ,09-SEPTIEMBRE,039 - 4OCT3                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,MS0004667,T-SHIRT MANGA CORTA EST  ESENCIAL  MODA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,047 - 4DIC3                                   ,001 - STOP                                    ,005 - ESENCIAL                                ,005 - DENIM                                   ,15001904,BERMUDA T/ALTO ESENCIAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
012 - DICIEMBRE                               , ,045 - 4DIC1                                   ,001 - STOP                                    ,005 - ESENCIAL                                ,005 - DENIM                                   ,15001921,TEJANO T/ALTO ESENCIAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
002 - FEBRERO                                 , ,002 - 1ENE2                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,15001950,CAMISETA PREMIUM MANGA LARGA ESENCIAL,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000996,TOP MANGA SISA LOGO EN ALTA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0000998,BODY MANGA SISA NUDO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000999,CAMISETA MANGA CORTA CUELLO EFECTO DENIM,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0001000,CAMISETA MANGA 3/4,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
009 - SEPTIEMBRE                              , ,035 - 3SEP3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,MS0001001,PANTALON TIRO ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,041 - 4NOV1                                   ,001 - STOP                                    ,004 - ESENCIAL MODA                           ,001 - TEJIDO PUNTO                            ,MS0004691,T-SHIRT MANGA CORTA EST  ESENCIAL  MODA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
011 - NOVIEMBRE                               , ,042 - 4NOV2                                   ,001 - STOP                                    ,003 - OPORTUNIDADES                           ,001 - TEJIDO PUNTO                            ,MS0004692,T-SHIRT MANGA CORTA ESTAMPADA OPORT,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
007 - JULIO                                   , ,027 - 3JUL3                                   ,001 - STOP                                    ,008 - MODA                                    ,001 - TEJIDO PUNTO                            ,ST0000885,CAMISETA MANGA CORTA A RAYAS ESTAMPADA,001 - PRODUCCION INTERNA TELA NACIONALIZADA   
