MES,MES ADELANTO,GRUPO DE ENTREGA,MARCA,TIPO DE LINEA,LINEA,TIPO DE MATERIAL,REFERENCIA,DESC. ITEM,TIPO DE ABASTECIMIENTO,PRIORIDAD
JULIO, ,026 - 3JUL2                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0000256,TOP MANGA SISA CUELLO HALTER,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
AGOSTO,07-JULIO,031 - 3AGO3                                   ,YOYO,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,YY0000654,BODY MANGA CORTA CON SESGOS EN CONTRASTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
NOVIEMBRE,10-OCTUBRE,041 - 4NOV1                                   ,YOYO,008 - MODA                                    ,002 - BLUSA-CAMISA,002 - TEJIDO PLANO                            ,MY0004417,BLUSA MANGA SISA CIERRE EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE, ,035 - 3SEP3                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MY0000779,CAMISETA MANGA CORTA CUELLO EN CONTRASTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
SEPTIEMBRE, ,035 - 3SEP3                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,MY0000889,MODY MANGA LARGA ESENCIAL MODA,,Normal
JULIO, ,026 - 3JUL2                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,001 - TEJIDO PUNTO                            ,YY0000262,VESTIDO MANGA CORTA ESTAMPADO CORTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
AGOSTO,07-JULIO,029 - 3AGO1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000267,CARGO TIRO MEDIO  LAV NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
JUNIO, ,023 - 2JUN3                                   ,YOYO,008 - MODA                                    ,010 - PRENDAS DE MODA                         ,005 - DENIM                                   ,30053244,OVERALL LARGO TP LAV NEGRO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
MAYO, ,018 - 2MAY2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,30125234,CARGO T/MEDIO TP LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
JUNIO, ,021 - 2JUN1                                   ,YOYO,008 - MODA                                    ,016 - TOP -BODY                               ,001 - TEJIDO PUNTO                            ,31015222,BODY MC TP ESCOTE ESPALDA,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
AGOSTO,07-JULIO,031 - 3AGO3                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,YY0000271,FALDA TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE,08-AGOSTO,034 - 3SEP2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000276,RETROMOM TIRO BAJO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE,08-AGOSTO,034 - 3SEP2                                   ,YOYO,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,YY0000277,MAXIRETRO TIRO ALTO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,037 - 4OCT1                                   ,YOYO,003 - OPORTUNIDADES                           ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000673,RETROMOM TIRO MEDIO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,038 - 4OCT2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000674,RETROMOM TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,037 - 4OCT1                                   ,YOYO,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,MY0000675,CARGO TIRO ALTO LAV COLOR CAFE,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000676,COOL TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000677,CRAZY TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,038 - 4OCT2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000679,MOMJEAN TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,039 - 4OCT3                                   ,YOYO,008 - MODA                                    ,008 - PANTALONES                              ,002 - TEJIDO PLANO                            ,MY0000680,CARGO TIRO MEDIO COLOR MARFIL,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
OCTUBRE,09-SEPTIEMBRE,038 - 4OCT2                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,005 - DENIM                                   ,YY0000682,SHORT TIRO ALTO LAV MEDIO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
ABRIL, ,016 - 2ABR4                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31882214,CAMISETA PREMIUM  MC TP CROP CON ESTAMPA,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
ABRIL, ,016 - 2ABR4                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31883714,CAMISETA PREMIUM MC TP CON ESTAMPADO EN,,Normal
ABRIL, ,016 - 2ABR4                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31884714,CAMISETA MC TP CON ESTAMPADO EN FRENTE Y,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
MAYO, ,018 - 2MAY2                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31887714,CAMISETA T-SHIRT MC ESTAMPADO EN FRENTE,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
NOVIEMBRE, ,042 - 4NOV2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004442,RETROMOM TIRO MEDIO LAV NEGRO MEDIO EST,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
JUNIO, ,024 - 2JUN4                                   ,YOYO,009 - CONSCIENTE,003 - CORTOS                                  ,002 - TEJIDO PLANO                            ,YY0004347,BERMUDA TIRO ALTO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
JULIO, ,025 - 3JUL1                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,YY0000733,T-SHIRT  MANGA CORTA OVERSIZED EST,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
JUNIO, ,021 - 2JUN1                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31898214,CAMISETA MC TP ESCOTE CRUZADO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
MAYO, ,018 - 2MAY2                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31899714,CAMISETA MC TP RAYAS OVERSIZED,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
MAYO, ,018 - 2MAY2                                   ,YOYO,008 - MODA                                    ,001 - CAMISETA                                ,001 - TEJIDO PUNTO                            ,31900714,CAMISETA MC TP CONTRASTE DE COLOR EN MAN,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
NOVIEMBRE, ,043 - 4NOV3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0004513,RETROMOM TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
MAYO, ,017 - 2MAY1                                   ,YOYO,008 - MODA                                    ,004 - SOBRETODOS                              ,005 - DENIM                                   ,34316201,CHAQUETA M/LARGA TP LAV MEDIO CON LASER,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
SEPTIEMBRE,08-AGOSTO,035 - 3SEP3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000278,CARGO TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE, ,035 - 3SEP3                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000279,PANTALON CARGO TIRO ALTO LAV CLARO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
AGOSTO,07-JULIO,029 - 3AGO1                                   ,YOYO,008 - MODA                                    ,003 - CORTOS                                  ,002 - TEJIDO PLANO                            ,YY0000270,FALDA SHORT TIRO MEDIO COLOR ARENA,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE,08-AGOSTO,034 - 3SEP2                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,YY0000272,TEJANO TIRO MEDIO LAV NEGRO OSCURO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
SEPTIEMBRE, ,033 - 3SEP1                                   ,YOYO,008 - MODA                                    ,000 - JEANS                                   ,005 - DENIM                                   ,MY0000273,MOMJEAN TIRO ALTO LAV MEDIO,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Normal
OCTUBRE,09-SEPTIEMBRE,037 - 4OCT1                                   ,YOYO,008 - MODA                                    ,002 - BLUSA-CAMISA,002 - TEJIDO PLANO                            ,MY0000895,CAMISA MANGA LARGA RAYAS,001 - PRODUCCION INTERNA TELA NACIONALIZADA,Prioridad Alta
