O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. PLANEADA,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 020  VAQUERO TIRO ALTO LA INDIGO T-14,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,367,367,0,367
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 018  JOGGER TIRO ALTO NEG NEGRO T-10,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,825,825,0,825
MOP-00000226,32-3AGO4,15015814 - IND01 - 014  SHORT T/ALTO ESENCIA INDIGO T-6,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 004  CAMISETA PREMIUM MAN BLANCO T-M,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000211,32-3AGO4,15001950 - 19-4004 - 006  CAMISETA PREMIUM MAN NEGRO T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000207,31-3AGO3,ST0000361 - 19-4004 - 006  CAMISA MANGA CORTA E NEGRO T-XL,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,308,308,0,308
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 016  CULOTTE TIRO ALTO LA INDIGO T-8,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,609,609,0,609
MOP-00000226,32-3AGO4,15015814 - IND01 - 019  SHORT T/ALTO ESENCIA INDIGO T-12,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,294,294,0,294
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 013  JOGGER TIRO ALTO NEG NEGRO T-5,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,330,330,0,330
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 002  CAMISETA PREMIUM MAN BLANCO T-XS,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,50,50,0,50
MOP-00000207,31-3AGO3,ST0000361 - 19-4004 - 003  CAMISA MANGA CORTA E NEGRO T-S,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,462,462,0,462
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 018  VAQUERO TIRO ALTO LA INDIGO T-10,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,717,717,0,717
MOP-00000229,31-3AGO3,ST0000987 - 17-1226 - 999  PAÑOLETA IDEOLOGIA CAFE NO APLICA,002 - TEJIDO PLANO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,1500,1500,0,1500
MOP-00000058,21-2JUN1,ST0001307 - 11-0602 - 002  CAMISETA MC CON ESTA CREMA T-XS,002 - TEJIDO PLANO                            ,2026-05-26,06-JUNIO,001 - STOP                                    ,Comprometido,93,80,0,80
MOP-00000196,30-3AGO2,ST0000373 - 14-0708 - 006  FTOP MANGA CORTA CON BEIGE T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Aprobado,228,228,0,228
MOP-00000237, ,15013949 - 19-4004 - 004  CAMISETA T SHIRT MAN NEGRO T-M,001 - TEJIDO PUNTO                            ,2026-06-05, ,001 - STOP                                    ,Comprometido,519,519,0,519
MOP-00000237, ,15013949 - 19-4004 - 002  CAMISETA T SHIRT MAN NEGRO T-XS,001 - TEJIDO PUNTO                            ,2026-06-05, ,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 020  CULOTTE TIRO ALTO LA INDIGO T-14,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,365,365,0,365
MOP-00000196,30-3AGO2,ST0000373 - 19-1761 - 004  FTOP MANGA CORTA CON ROJO T-M,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,683,683,0,683
MOP-00000196,30-3AGO2,ST0000373 - 14-0708 - 003  FTOP MANGA CORTA CON BEIGE T-S,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Aprobado,342,342,0,342
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 021  VAQUERO TIRO ALTO LA INDIGO T-16,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,287,287,0,287
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 018  PANTALON TIRO ALTO E NEGRO T-10,002 - TEJIDO PLANO                            ,2026-06-05,07-JULIO,001 - STOP                                    ,Comprometido,251,229,0,229
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 014  JOGGER TIRO ALTO NEG NEGRO T-6,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,495,495,0,495
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 018  VAQUERO TIRO ALTO LA INDIGO T-10,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,611,611,0,611
MOP-00000226,32-3AGO4,15015814 - IND01 - 020  SHORT T/ALTO ESENCIA INDIGO T-14,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,97,97,0,97
MOP-00000213,32-3AGO4,15004852 - 11-0602 - 006  TOP MANGA SISA EN RI CREMA T-XL,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000238,32-3AGO4,15013949 - 19-4004 - 005  CAMISETA T SHIRT MAN NEGRO T-L,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000194,31-3AGO3,ST0000368 - 19-1121 - 003  CAMISETA MANGA CORTA CAFE T-S,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,588,588,0,588
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 014  MOM JEAN TIRO ALTO L INDIGO T-6,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,487,487,0,487
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 003  CAMISETA PREMIUM MAN BLANCO T-S,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,50,50,0,50
MOP-00000058,21-2JUN1,ST0001307 - 11-0602 - 005  CAMISETA MC CON ESTA CREMA T-L,002 - TEJIDO PLANO                            ,2026-05-26,06-JUNIO,001 - STOP                                    ,Aprobado,279,258,0,258
MOP-00000194,31-3AGO3,ST0000368 - 19-1121 - 006  CAMISETA MANGA CORTA CAFE T-XL,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,441,441,0,441
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 019  MOM JEAN TIRO ALTO L INDIGO T-12,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,487,487,0,487
MOP-00000238,32-3AGO4,15013949 - 19-4004 - 006  CAMISETA T SHIRT MAN NEGRO T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 014  VAQUERO TIRO ALTO LA INDIGO T-6,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,574,574,0,574
MOP-00000207,31-3AGO3,ST0000361 - 19-4004 - 004  CAMISA MANGA CORTA E NEGRO T-M,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,615,615,0,615
MOP-00000211,32-3AGO4,15001950 - 19-4004 - 005  CAMISETA PREMIUM MAN NEGRO T-L,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 021  CULOTTE TIRO ALTO LA INDIGO T-16,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,243,243,0,243
MOP-00000196,30-3AGO2,ST0000373 - 14-0708 - 004  FTOP MANGA CORTA CON BEIGE T-M,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Aprobado,455,455,0,455
MOP-00000236,35-3SEP3,ST0000345 - 19-1102 - 019  JOGGER TIRO ALTO NEG NEGRO T-12,002 - TEJIDO PLANO                            ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,495,495,0,495
MOP-00000226,32-3AGO4,15015814 - IND01 - 016  SHORT T/ALTO ESENCIA INDIGO T-8,005 - DENIM                                   ,2026-06-01,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 021  VAQUERO TIRO ALTO LA INDIGO T-16,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,244,244,0,244
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 018  CULOTTE TIRO ALTO LA INDIGO T-10,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,609,609,0,609
MOP-00000213,32-3AGO4,15004852 - 11-0602 - 005  TOP MANGA SISA EN RI CREMA T-L,001 - TEJIDO PUNTO                            ,2026-06-02,08-AGOSTO,001 - STOP                                    ,Comprometido,200,200,0,200
MOP-00000196,30-3AGO2,ST0000373 - 19-1761 - 005  FTOP MANGA CORTA CON ROJO T-L,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,512,512,0,512
MOP-00000058,21-2JUN1,ST0001307 - 11-0602 - 006  CAMISETA MC CON ESTA CREMA T-XL,002 - TEJIDO PLANO                            ,2026-05-26,06-JUNIO,001 - STOP                                    ,Aprobado,186,131,0,131
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 019  PANTALON TIRO ALTO E NEGRO T-12,002 - TEJIDO PLANO                            ,2026-05-26,07-JULIO,001 - STOP                                    ,Comprometido,124,108,0,108
MOP-00000205,31-3AGO3,ST0000326 - IND01 - 019  VAQUERO TIRO ALTO LA INDIGO T-12,005 - DENIM                                   ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,574,574,0,574
MOP-00000058,21-2JUN1,ST0001307 - 11-0602 - 003  CAMISETA MC CON ESTA CREMA T-S,002 - TEJIDO PLANO                            ,2026-05-26,06-JUNIO,001 - STOP                                    ,Comprometido,279,205,0,205
MOP-00000196,30-3AGO2,ST0000373 - 19-1761 - 002  FTOP MANGA CORTA CON ROJO T-XS,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,171,171,0,171
MOP-00000237, ,15013949 - 19-4004 - 003  CAMISETA T SHIRT MAN NEGRO T-S,001 - TEJIDO PUNTO                            ,2026-06-05, ,001 - STOP                                    ,Comprometido,432,432,0,432
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 016  MOM JEAN TIRO ALTO L INDIGO T-8,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,609,609,0,609
MOP-00000084,28-3JUL4,15059901 - 19-4004 - 014  PANTALON TIRO ALTO E NEGRO T-6,002 - TEJIDO PLANO                            ,2026-06-04,07-JULIO,001 - STOP                                    ,Comprometido,225,239,0,239
MOP-00000232,33-3SEP1,ST0000341 - IND03 - 014  VAQUERO TIRO ALTO LA INDIGO T-6,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,489,489,0,489
MOP-00000235,34-3SEP2,ST0000343 - IND03 - 020  MOM JEAN TIRO ALTO L INDIGO T-14,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,365,365,0,365
MOP-00000233,33-3SEP1,ST0000344 - IND01 - 014  CULOTTE TIRO ALTO LA INDIGO T-6,005 - DENIM                                   ,2026-06-04,09-SEPTIEMBRE,001 - STOP                                    ,Comprometido,487,487,0,487
MOP-00000211,32-3AGO4,15001950 - 11-0601 - 006  CAMISETA PREMIUM MAN BLANCO T-XL,001 - TEJIDO PUNTO                            ,2026-06-05,08-AGOSTO,001 - STOP                                    ,Comprometido,100,100,0,100
