O.P. NÚMERO,GRUPO DE ENTREGA,ITEM O.P. RESUMEN,TIPO DE MATERIAL,FECHA DE ENTREGA TELAS,MES,MARCA,ESTADO,CANT. ORDENADA,CANT. COMPLETA,CANT. PENDIENTE
MOP-00000145,006 - 1FEB2                                   ,35052249 - 19-4004 - 023  CAMISETA T-SHIRT OVE NEGRO T-20,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000145,006 - 1FEB2                                   ,35052249 - 11-0602 - 022  CAMISETA T-SHIRT OVE CREMA T-18,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000143,009 - 1MAR1                                   ,35011291 - IND02 - 018  RETROMOM TIRO ALTO E INDIGO T-10,005 - DENIM                                   ,2026-06-06,003 - MARZO                                   ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000162,031 - 3AGO3                                   ,YY0000848 - 19-4004 - 022  VESTIDO TIRAS ABERT NEGRO T-18,002 - TEJIDO PLANO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,188,0,188
MOP-00000154,034 - 3SEP2                                   ,YY0000277 - 11-0602 - 022  MAXIRETRO TIRO ALTO CREMA T-18,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,400,0,400
MOP-00000145,006 - 1FEB2                                   ,35052249 - 19-4004 - 020  CAMISETA T-SHIRT OVE NEGRO T-14,001 - TEJIDO PUNTO                            ,2026-06-01,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,100,0,100
MOP-00000139,002 - 1ENE2                                   ,35001295 - 11-0601 - 020  BODY PREMIUM SISA ES BLANCO T-14,001 - TEJIDO PUNTO                            ,2026-06-02,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,150,0,150
MOP-00000157,035 - 3SEP3                                   ,YY0000274 - 11-0602 - 024  MOMJEAN TIRO MEDIO CREMA T-22,002 - TEJIDO PLANO                            ,2026-06-03,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,267,0,267
MOP-00000103,,35050249 - 19-4004 - 021  CAMISETA MC TP ESEN NEGRO T-16,001 - TEJIDO PUNTO                            ,2026-06-04,001 - ENERO                                   ,003 - YOYO                                    ,Comprometido,254,0,254
MOP-00000152,034 - 3SEP2                                   ,YY0000272 - IND07 - 021  TEJANO TIRO MEDIO TP INDIGO T-16,005 - DENIM                                   ,2026-06-02,009 - SEPTIEMBRE                              ,003 - YOYO                                    ,Comprometido,533,0,533
MOP-00000150,006 - 1FEB2                                   ,35010291 - 19-4004 - 021  RETROMOM TIRO BAJO B NEGRO T-16,005 - DENIM                                   ,2026-06-02,002 - FEBRERO                                 ,003 - YOYO                                    ,Comprometido,50,0,50
MOP-00000114,031 - 3AGO3                                   ,YY0000308 - 19-4024 - 024  T-SHIRT MANGA CORTA AZUL T-22,001 - TEJIDO PUNTO                            ,2026-06-05,008 - AGOSTO                                  ,003 - YOYO                                    ,Comprometido,189,0,189
